title,price,location,area,bedrooms,bathrooms
ستوديو in Selim St. 70 M² Extra super lux For sale,4000000,"New Cairo - 5th Settlement
/
Selim St.",70 m²,1,1
دوبلكس بحديقة 363 M² Semi Finished in The 2000 Pieces,3650000,"6th of October
/
The 2000 Pieces",363 m²,4,3
لوفت 340 M² Super lux in Mountain Park - Mountain View iCity Compound,7950000,"New Cairo - 5th Settlement
/
Mountain Park - Mountain View iCity Compound",340 m²,3,2
"Spacious 3-Bedroom Apartment for Sale in Al Mokattam, Middle Plateau 201 م",4020000,"Mokattam
/
Ard El Mabaheth",201 m²,3,3
Apartment For sale in Zakaria Ahmed St.,8000000,"New Cairo - 5th Settlement
/
Zakaria Ahmed St.",225 m²,3,3
شقة 130 متر للبيع من المالك في الكيلو 21 العجمي,1800000,"Al Agamy
/
Al Agamy",130 m²,3,1
شقق للبيع في شارع زيزينيا,5000000,"New Cairo - 5th Settlement
/
Zizinia St.",228 m²,3,3
"Studio apartment for sale directly opposite Cairo Airport, with a down payment of 505,000 and installments over 8 years - CH",5053000,"New Cairo - 5th Settlement
/
Origami Gardens - Taj City Compound",58 m²,1,1
روف For sale in Ja’far ibn Abi Talib St. 200 م,5500000,"New Cairo - 5th Settlement
/
Ja’far ibn Abi Talib St.",200 m²,3,2
Apartment 120 M² Extra super lux in Abo El Hawl 2,3100000,"New Cairo - 5th Settlement
/
Abo El Hawl 2",120 m²,2,1
Apartment For sale in Bloomfields Compound - Tatweer Misr 125 م,9971000,"New Cairo - 5th Settlement
/
Bloomfields Compound - Tatweer Misr",125 m²,2,1
"127 m² Apartment for Sale in Ard El Mabaheth, Mokattam",2413000,"Mokattam
/
Ard El Mabaheth",127 m²,2,2
"Two-bedroom apartment for sale with a down payment of 560,000, opposite Sodic East, finished - CSA",4140000,"New Heliopolis
/
Talala Compound - Madinet Masr",128 m²,2,2
"Smartly Designed 2-Bedroom Apartment in Al Mokattam, 105 m² للبيع",2625000,"Mokattam
/
Ard El Mabaheth",105 m²,2,2
An opportunity for living and investment: Own your apartment with modern finishes at a 64% discount in Talala Compound - CE,3310000,"New Heliopolis
/
Talala Compound - Madinet Masr",115 m²,2,1
"Spacious 2-Bedroom Apartment for Sale in Middle Plateau, Mokattam 108 م",2700000,"Mokattam
/
Ard El Mabaheth",108 m²,2,2
For sale - ستوديو 30 M² Semi Finished,1102500,"North Coast Resorts
/
Porto Golf Marina - Amer Group",30 m²,1,1
سكني For sale in Mazarine Resort - City Edge,18200000,"New Alamein
/
Mazarine Resort - City Edge",199 m²,3,3
For sale - ستوديو 30 M² Semi Finished,1102500,"North Coast Resorts
/
Porto Golf Marina - Amer Group",30 m²,1,1
ستوديو فندقي For sale in Porto Golf Marina - Amer Group,2205000,"North Coast Resorts
/
Porto Golf Marina - Amer Group",30 m²,1,1
